TI,DE,ID,AB,PY
Assessing the unpaved shoulder of an airport runway for pavement construction using the lightweight penetrometer LRS 10,Runway; Port Harcourt; LRS 10; Penetration index; CBR,,"In upgrading the facilities of an International Airport in Southeastern Nigeria, the runway pavement is to be strengthened by increasing the asphalt concrete overlay thickness and introducing open-graded friction course beneath the overlay. As part of the runway upgrading, the hitherto grassed shoulder will be replaced with full flexible pavement. In evaluating the grassed shoulder a lightweight penetrometer LRS 10 was employed. The LRS 10 was deployed at an interval of 240m on both shoulders. Most part of the shoulder length indicates penetration index (PI) values between 3.57mm/blow and 8.8mm/blow giving equivalent California Bearing Ratio (CBR) values in the range of 79-30% from the ground surface to about 0.40m depth, and higher values of penetration index beyond the 0.40m depth. There are few bands from the ground surface to 0.40m depth in which the PI values are between 9.09 and 33.3mm/blow; with equivalent CBR values of 29-7%, respectively. The LRS 10 also indicate that the shoulders are characterized by soil with medium dense consistencies, with loosely dense soil occurring in those bands with high penetration index values. Soil classification of the shoulder indicates sandy clay, silty sand (SM) soils, except pockets of areas with high penetration index which are characterized with organic clays. Based on this investigation, an Earthworks program was developed for the proposed shoulder pavement construction. Correlation of the two methods of analysis employed to interpret the LRS 10 data leads to resolving one of the major limitations of the LRS 10 penetrometer.",2018
"Wick drains and piling for Cai Mep container port, Vietnam",Wick drain; Full-scale tests; Settlement; Piles,,"A container terminal, Cai Mep port in the Mekong delta approximately 80km southeast of Ho Chi Minh City, Vietnam, was constructed along the Thi Vai River over about 35m thick soft, deltaic silty clay deposited on dense to compact sand. The port buildings required piled-raft foundations, which were 400-mm square, precast concrete piles driven to 18-28m depth. One building required 760 piles. The seasonal flooding conditions in the area required raising the ground surface by2.5m, which brought about considerable consolidation settlement. To ensure that the settlement would develop before constructing the port area and buildings, the consolidation was accelerated by means of wick drains at a spacing of about 1.2m. Additional fill (surcharge) was placed to raise the ground to a total height of 8-10m. The surcharge was kept on for 6-18months at which time the consolidation was considered to have completed and the piles were constructed. The settlements and amounted to about 3.5m during the surcharge period. Settlement monitoring continued after end of surcharge removal and it became obvious that the area continued to settle after the removal of the surcharge, indicating that consolidation settlement had not been completed despite the long surcharge period. Indeed, the post-construction settlement over general port area would exceed the specified limit: 400mm over a 20-year period. Moreover, which was rather perplexing, when monitoring the settlement of the piled foundations after the pile construction, the piles were found to settle at the same rate as the ground surface already before the buildings had been constructed. A remedial procedure was implemented that involved extending the piles to bear in the sand, where no long-term settlement would occur. The problem and its solution were analyzed by means of the unified design method. The remedial solution did not resolve the settlement problem for the general container storage area, however.",2018
ITER plasma source and building modelling to produce radiation maps,ITER; Tokamak Complex; radiation maps; source modelling; MCNP,SHUTDOWN DOSE-RATE; PORT CELL,"The ITER Tokamak Complex is the civil structure that will host the ITER Tokamak and the largest part of the associated systems. The dimensions are 120 m x 80 m x 60 m, built mostly of concrete, with over one thousand penetrations. During ITER operation, a radiation field will spread throughout the complex from diverse radiation sources. It must be characterized to check the compliance with the limits for electronics allocation and human intervention. However, the production of radiation maps in the ITER Tokamak Complex is a task of paramount sophistication due to challenges to adequately model in MCNP the radiation sources involved. In this work, two important methodological upgrades are presented. First, a new MCNP model of the Tokamak Complex, conceived to be computationally stable while capturing a conservative representation of the baseline. Second, a novel approach to model the plasma source, called a mosaic source, allows an unprecedented degree of realism and accuracy in terms of capturing the port specificities. Both represent a step change in the capacity to produce ITER radiation maps with increased reliability, augmenting previous versions. Examples of partial radiation maps are provided considering both methodological upgrades.",2018
Performance evaluation of steam cured HPC pipe piles produced with metakaolin based mineral additives,Metakaolin; Pipe piles; Pore structure; Phase quantification; Hydration products,SUPPLEMENTARY CEMENTITIOUS MATERIALS; DIFFERENT CURING TEMPERATURES; FLY-ASH CONCRETE; COMPRESSIVE STRENGTH; PORTLAND-CEMENT; MECHANICAL-PROPERTIES; SILICA FUME; EARLY-AGE; HYDRATION KINETICS; PRECAST CONCRETE,"High performance pipe piles are widely used in precast industry. In order to improve the production efficiency and performances of the products, steam curing and mineral admixtures are usually applied. This paper evaluates the performances of HPC pipe piles produced with metakaolin-based admixtures. Quantitative phase composition analysis shows that the addition of 10 wt% metakaolin reduces the port-landite content by up to 57.1%, while increases the content of ettringite to some extent. The addition of metakaolin or metakaolin-slag/limestone blends improves the mechanical properties, especially the hybrid usage of metakaolin and limestone filler. Pore structure and microscope analyze confirm the remarkably-refined pore characteristics caused by the addition of metakaolin-based admixtures, in which case the gel pores accounts up to 85% of the total pores. Those remarkably improved properties caused by the addition of metakaolin-based admixtures indicate a promising future for their applications in producing high performance pipe piles with further modified properties. (C) 2018 Elsevier Ltd. All rights reserved.",2018
Beyond the Enclave of Urban Theory,Urban theory; methodology; global urbanism; Stuart Hall; race; cities; urbanization; Buenaventura; Colombia,STUART HALL; CITY; RACE; URBANIZATION; GEOGRAPHIES; DIFFERENCE; BLACKNESS; COLOMBIA,"This essay offers a methodological intervention into conceptual debates in urban studies. Despite significant analytical and political differences across an otherwise heterodox field of inquiry, these debates have been overly confined to a theoretical register. In this essay, I propose an alternative, inspired by Stuart Hall, which focuses on the concrete work accomplished by our key concepts in specific historical conjunctures. I make this argument with reference to my own research in Colombia, focusing specifically on racialized violence and displacement in the port-city of Buenaventura. I argue that Hall's method, particularly his work on 'race', offers a way to engage questions of global urbanism without necessarily treating them as theoretical questions. Like 'race' in Hall's analysis, concepts like the 'urban' and the 'global' are 'articulating principles' of social formations, producing both discursive and material effects, and possessing social, cultural and political lives of their own. Alongside efforts to democratize the privilege of thinking and speaking in the language of 'theory', Hall's method exposes that privilege to more fundamental questioning.",2018
Atmospheric corrosion study in a harbor located in a tropical island,atmospheric corrosion; harbor; tropical climate,MILD-STEEL; REINFORCED-CONCRETE; MARINE AEROSOLS; SALINITY; DEPOSITION; TRANSPORT; EXPOSURE; REGIME; HAVANA; BRAZIL,"Atmospheric corrosion level in tropical coastal zones is usually very significant. Corrosion control and preservation of infrastructure in these regions is very important to increase durability. Atmospheric corrosion of carbon steel, copper, galvanized steel, and aluminum was evaluated in a coastal industrial port zone located in a tropical island during 1 year. Samples were exposed at seven outdoor corrosion sites located at different distances from the sea. Main atmospheric pollutants, relative humidity, and air temperature were monitored during the exposure time. The existence of a combination between two of the most aggressive atmosphere types was determined (coastal-industrial and industrial-coastal). Changes in RH and temperature influenced significantly the chloride deposition. A new statistical model to explain the influence of time of exposure for all metals tested was developed. A possible antagonist effect between pollutants on corrosion may be possible. Acceleration of corrosion rate vs time is observed in the site close to the shoreline. Significant differences between corrosivity categories determined and those calculated by ISO standard dose response functions were found. The narrow entrance of the harbor with low movement of the inner water causes a decrease in salinity in the port zone.",2018
Renewable energy cooperatives: Facilitating the energy transition at the Port of Rotterdam,Renewable energy; Energy cooperatives; Port of Rotterdam; Energy transition; Smart energy markets,CHALLENGES; CLUSTERS,"Renewable energy cooperatives (RECs) are an important element of the European energy transition. Allowing citizens and companies to invest in renewable energy and thereby become independent power producers has advanced the acceptance of renewable energy among the population, accelerating the move toward a more decentralized and sustainable power supply. We investigate how a REC could be designed to increase renewable energy deployment at the Port of Rotterdam. Based on a progressive case study conducted among a wide array of stakeholders at the Port and across Europe, we have found 14 specific characteristics a REC should embody to facilitate the energy transition at the Port. Based on these results, we present an action plan with concrete recommendations on how a successful cooperative could be launched at the Port. The results of this research can serve as a guide for stakeholders in any industrial cluster interested in driving the energy transition through a REC.",2018
Properties of Plain Concrete Produced Employing Recycled Aggregates and Sea Water,Mixed recycled aggregate; Sea water; Blast furnace cement; Recycled concrete; Properties,COMPRESSIVE STRENGTH; STRUCTURAL CONCRETE; HYDRATION PRODUCTS; PERFORMANCE; DURABILITY; SLAG; CONSTRUCTION; ENVIRONMENT; RESISTANCE; CEMENT,"The generation of construction and demolition waste (C&DW) is a noteworthy environmental and economic concern. The development of new applications in which Recycled Mixed Aggregates (RMA) can be used will lead to a reduction of landfills growth. Moreover, the use of seawater shall represent another advance in sustainability due to the consequent reduction of fresh water consumption, which can be a limited resource in certain areas. Although seawater is not generally recommended for concrete production, especially in reinforced concretes, seawater could be a viable replacement for fresh water in the production of plain concretes. This study intends to analyse the possibility of using RMA and seawater in the production of concrete to be used in port sites. This study is based on three different parameters: cement class, water source and RMA content. The results highlighted the beneficial effects of using type III cement, especially with regard to durability properties. The concretes produced employing RMA and type III cement achieved lower value of sorptivity coefficient and higher values of ultrasonic pulse velocity (UPV), chloride ion penetration resistance and electrical resistivity than those produced with natural aggregates and type I cement. Moreover, the use of seawater in concretes with type III cement not only produced higher density and lower absorption capacity but also higher mechanical properties by creating a denser cement matrix, which proved to suffer low decrease by RMA addition.",2018
Consolidation Behavior of Fly Ash-Based Geopolymer-Stabilized Dredged Mud,Consolidation; Dredged mud; Fly ash; Geopolymer; Stabilization; Land reclamation,MARINE CLAY; SOIL; CEMENT; LIME; SEDIMENTS,"Ports use soft dredged material for land reclamation to address land scarcity and environmental constraints. Land reclaimed with soft dredged material has the properties of high compressibility and slow consolidation that need to be improved. This laboratory study investigated the effect of a fly ash-based geopolymer binder on the consolidation behavior of soft dredged mud derived from the Port of Townsville, Queensland, Australia. For geopolymer synthesization, an alkali activator solution to aluminosilicate source material mix designs that is used in the geopolymer concrete industry was adopted. The dredged mud sediments were reconstituted at 400% water content dredged mud slurries of nontreated and geopolymer stabilized at 6, 12, and 18% by weight. A series of standard one-dimensional consolidation tests was conducted to study the consolidation and compressibility characteristics of the dredged mud sediments. Taylor's square root of time curve-fitting method was used to estimate the coefficient of consolidation. The study found that the fly ash-based geopolymer stabilization improved the compressibility, permeability, and consolidation characteristics of the dredged mud sediments. The findings indicate the feasibility of stabilizing dredged mud while still in its slurry form. (C) 2018 American Society of Civil Engineers.",2018
Influence of manufactured sand's characteristics on its concrete performance,Manufactured sand; Particle shape; Gradation; Powder content; Performance; Microstructure,HIGH-STRENGTH CONCRETE; DRYING SHRINKAGE; PARTICLE-SHAPE; SURFACE-AREA; AGGREGATE; CEMENT; DURABILITY; MORTAR; DESIGN; FILLER,"Manufactured sand (MS) is widely considered as an alternative of the river sand (RS) recently, and to clarify the influence significance and influence mechanism of MS characteristic parameters on its concrete performance is essential to its scientific application. This paper presented series of experimental studies on the influence of MS characteristics on MS concrete performance. Results indicated that the particle shape of MS had little influence on the performance of its concretes, while the stone powder of MS had more remarkable influence on its concrete performance. When the gradations of manufactured sand B (MSB) and RS was adjusted according to Fuller's curve, the strength of MSB concrete was only lower than that of RS concrete, thus the gradation of MS was not a negative characteristic to concrete strength. The stone powder of MS is most significant factor on its concrete strength and the strength can reach a peak value when the content of stone powder is 7.5%. The MSB concrete has narrower ITZ than that of RS, and only a small amount of AFt crystals is found in the 117 of MSB, while the stick AFt, AFm and port-landite crystal are enriched at the ITZ of RS concrete, the microstructure of MSB concrete is denser than that of RS. (C) 2018 Elsevier Ltd. All rights reserved.",2018
From Julius Caesar to Sustainable Composite Materials: A Passage through Port Caisson Technology,caisson; ancient ports; breakwater; sustainability; eco-friendly concrete; composite materials; supplementary cement-based materials; marine environment,IN-FIELD CONDITIONS; MARINE-ENVIRONMENT; FLY-ASH; CEMENTITIOUS MATERIALS; CHLORIDE PENETRATION; MOISTURE-CONTENT; CONCRETE; DURABILITY; PERFORMANCE; SLAG,"The breakwater construction technique using floating concrete caissons is well-known nowadays as a widespread system. Yet do we really know its origin? Since Julius Caesar used this technology in Brindisi (Italy) up to the Normandy landings in June 1944, not only has this technology been developed, but it has been a key item in several moments in history. Its development has almost always been driven by military requirements. The greatest changes have not been conceptual but point occurring, backed by the materials used. Parallelisms can be clearly seen in each new stage: timber, opus caementitium (Roman concrete), iron and concrete... However, nowadays, achieving a more sustainable world constitutes a major challenge, to which the construction of caissons breakwaters must contribute as a field of application of new eco-friendly materials. This research work provides a general overview from the origins of caissons until our time. It will make better known the changes that took place in the system and their adaptation to new materials, and will help in clarifying the future in developing technology towards composite sustainable materials and special concrete. If we understand the past, it will be easier to define the future.",2018
