TI,DE,ID,AB,PY
Sustainability of construction materials: Electrodialytic technology as a tool for mortars production,Electrodialytic technology; Mortars production; Secondary water resources; Circular economy,WASTE-WATER; CONCRETE; REMOVAL; SLUDGE,"The reduction of tap water consumption in all activity sectors, including the building industry, is crucial to the sustainability of water resources. Effluents from wastewater treatment plants have the potential to replace freshwater in the construction sector but they contain a critical mixture of impurities, which hampers their use in mortars production. In this work, the viability of using effluent as an alternative to potable water for the production of mortars, after electrodialytic treatment, was assessed. Electrodialytic technology (ED-T) is a proven technique for decontamination of porous and aqueous matrices. ED-T experiments were conducted with 500 mL of effluent for 6, 12 and 24 h, with a current intensity of 25 mA. The results showed that after ED-T 6 h, the removal efficiencies of critical components were above 85% of their initial concentrations. Mortar properties such as setting time, workability, flexural strength, compressive strength and morphology were obtained for 100% effluent and tap water/effluent mixtures (50:50) with and without ED-T pre-treatment. The mortars with the ED-T treated effluent showed similar initial setting times and workability, higher flexural and compressive strength compared to the mortars reference.",2019
An automatic and intelligent optimal surface modeling method for composite tunnel structures,Tunnel structure; Point cloud; Likelihood method; Robust estimation; B-spline approximation; Terrestrial laser scanning,LASER-SCANNING TECHNOLOGY; FINITE-ELEMENT MODEL; DEFORMATION ANALYSIS; EXTRACTION METHOD; CONCRETE; OPTIMIZATION; RELIABILITY; CALIBRATION; ALGORITHM; BEHAVIOR,"Automatically modeling and intelligently monitoring composite tunnel structures is of great significance considering the development of composite and diverse tunnel construction materials. Therefore, how to efficiently analyze the deformation of all kinds of tunnel structures with its expanding application is becoming increasingly important. In this paper, we analyze the over- and under-fitting problems under different point cloud profiles to generate an automatic and robust B-spline model which is a suitable method for high accuracy approximation capable of optimizing the composite tunnel model by adjusting the parameters. The innovation of this research is that we combine the maximum likelihood function and the degree of freedom to obtain the optimal parameters model of composite tunnels, which are validated by the various profiles.",2019
"Life cycle assessment for carbon dioxide emissions from freeway construction in mountainous area: Primary source, cut-off determination of system boundary",Life cycle assessment; Climate change; Carbon dioxide; Freeway construction; Mountainous area,GREENHOUSE-GAS EMISSIONS; QUANTITATIVE ASSESSMENT; CONCRETE PAVEMENTS; ROAD CONSTRUCTION; PROJECTS; MAINTENANCE; ASPHALT; CHINA; TOOL,"Carbon dioxide (CO2) emissions mitigation from transportation infrastructure construction activities is regarded as one of the potential pathways to deal with climate change. Aiming to assess the magnitude of CO2 emissions associated with freeway infrastructure construction activities and identify primary emissions sources in mountainous area, this study firstly assessed life cycle CO2 emissions of an entire freeway project in mountainous area in China, including pavement, bridge, tunnel, intersection, traffic safety facilities and temporary works into the system boundary. The results show that CO2 emissions related to road segment are one magnitude lower than that of bridge and tunnel. In addition, negligence of intersection, traffic safety facilities and temporary works could underestimate 4% of total CO2 emissions of the freeway project. CO2 emissions distribution of the different types of materials and equipment distribute as the similar Pareto Principle, which reminds that definition of system boundary could focus on the few of inputs that matter on the aspects of data limited, rough estimation and comprehensive understanding of environmental impact. Findings of this study could offer transport agencies more comprehensive references to understand the contribution of freeway infrastructure construction activities in the mountainous area to climate change, and provide decision makers insights to take measures in the planning phase, particularly in the construction phase in terms of equipment selection, construction design, and construction materials design.",2019
Green geopolymeric concrete using grits for applications in construction,Geopolymeric concrete; Biomass fly-ash; Grits; Mechanics; Construction,SUSTAINABILITY; TECHNOLOGY; INDUSTRY,"This work investigates the production a green geopolymer-based concrete for a sustainable construction material using biomass wastes from a kraft pulp industry: fly ash (as main alumina-silicate source) and grits (as aggregate). Moreover, a simple, reproducible, ambient temperature, and low-cost manufacture is followed. Mix design aims to maximize wastes incorporation and optimize the mechanical performance. Preliminary tests indicate that the used wastes may be successfully employed to produce green geopolymeric concretes with satisfying mechanical performance (up to 18 MPa), according to the European standards. Furthermore, they represent a viable solution to reduce the environmental footprint associated with waste disposal. (C) 2018 Elsevier B.V. All rights reserved.",2018
Greenhouse gas emissions of different fly ash based geopolymer concretes in building construction,Greenhouse gas emissions; Fly ash geopolymer; Alkali activated slag; Construction; Building,ENVIRONMENTAL EMISSIONS; MECHANICAL-PROPERTIES; OFFICE BUILDINGS; ENERGY; CORROSION; FOUNDATION; RESISTANCE; REDUCTION; BEHAVIOR; IMPACTS,"Replacing virgin materials with recycled or sustainable materials to reduce energy consumptions and emissions is the focus of contemporary research to reduce building related emissions. Geopolymer concrete produced using 100% fly ash is a similar sustainable construction material capable of replacing Portland Cement (PC) concrete. As a replacement for PC, fly ash seems to be a sustainable solution, however the benefits from the production process of fly ash geopolymer (FAGP) concrete is the subject of considerable debate. In addition, factors such as local availability and transportation issues could potentially increase the emission profile of FAGP concrete. Thus, this study aims to evaluate the emission profiles for different types of fly ash in Australia considering availability and transportation. A case study and a scenario analysis are also presented to demonstrate the factors that affect the Green House Gas (GHG) emission profile of FAGP manufacture. The results indicate that to the GHG emission profile for FAGP concrete changes considerably based on the material availability, transportation and mix design. Alkali activators and elevated heat curing processes also significantly contribute the total GHG emissions of FAGP concrete production. The results further signify that the case study location could influence the employment of FAGP concrete in terms of GHG emissions. Further studies are encouraged on optimising the cost, GHG emissions, availability and strength characteristics to strike a balance between in sustainability for selecting the best FAGP type for construction. The results also provide the initial factors to be considered in developing a guideline for employing sustainable materials in the building industry. Crown Copyright (C) 2018 Published by Elsevier Ltd. All rights reserved.",2018
An attributional life cycle assessment for an Italian residential multifamily building,Sustainable building; life cycle assessment; multifamily dwelling; resource optimization; construction and demolition waste,DEMOLITION WASTE MANAGEMENT; ENVIRONMENTAL PERFORMANCE; CONSTRUCTION; ENERGY; LCA; METHODOLOGY; EMISSIONS; IMPACTS; PHASE,"The study describes an attributional life cycle assessment carried out according to the ISO standards and focused on an Italian multifamily residential building. The aim was developing an exhaustive and reliable inventory of high-quality primary data, comparing the environmental impacts along the three stages of the building life cycle. The pre-use phase takes into account the production of all the construction materials, transportation, and on-site assembling. The use phase quantifies the resource consumptions for 50 years of the building utilization and ordinary maintenance. The end-of-life phase includes the building demolition and the management of generated wastes. The results quantify how the design criteria affect the environmental performances of the residential building along its life cycle. The role of the pre-use phase appears remarkable for global warming potential (GWP), due to the huge impacts of steel and concrete production processes. The use phase gives the largest contributions, which reach 77% and 84% of the total, for the categories of global warming and non-renewable energy. The end-of-life phase provides limited avoided impacts. A comparative analysis quantifies the improvements achievable with an alternative type of partitions and external walls.",2018
Quantifying the damage susceptibility to extreme events of mountain stream check dams using Rough Set Analysis,flood damage Indexes; flood defence structures; integrated flood risk management; life-cycle management,VULNERABILITY; INDEX,"In this work, a Rough Set Analysis-based approach is proposed to quantify the damage susceptibility of check dams through specific indexes, which all require expert judgment to be quantified. The indexes are the Post-Event Damage Condition (DamPost), the induced Condition Change (DamCh), the Residual Condition (RC), and the Post-Event Functionality (FPost). Preliminarily, an existing data set, containing a quantification of the damage indexes, the associated characterisation of the flow process type of three torrential hazard events occurred in South Tyrol (Italy), the identification of construction material and the determination of age of the structure, was statistically analysed. To predict the damage indexes based on Rough Set Analysis, a general model, which considered all check dams regardless of their construction material, two specific models, for concrete and for masonry structures respectively, and a simplified version of the general model were set up. The derived rule bases exhibited satisfactory prediction accuracies only when the post-event functionality, FPost, was chosen. Prediction accuracies were 68% for the general model, 79% for the material category concrete, 60% for the material category masonry, and 86% could be obtained by simplifying the decision attribute to a binary form (functionality given or not).",2018
Tobacco waste ash: a promising supplementary cementitious material,Concrete; Tobacco waste ash; Supplementary cementitious material; Sustainable construction material; Compressive strength; Design of experiments,OIL FUEL ASH; FLY-ASH; CONSTRUCTION MATERIALS; FURNACE SLAG; CONCRETE; STRENGTH; MICROSTRUCTURE; PASTES,"According to the European Cement Association, CEMBUREAU, in 2015, the global cement production was 4.6billion tons. Traditional cement production emits approximately 1 ton of CO2 per ton of cement, which represents almost 80% of the total CO2 emissions of concrete and approximately 6% of the world's emissions. Among supplementary cementitious materials, the use of agro-waste ash emerges due to its reduced CO2 emissions, chloride diffusion, and materials cost, in addition to its greater compressive strength. In Colombia, the disposal of agro-wastes, such as tobacco waste, is an environmental and economic concern. In this study, ash obtained from tobacco waste (TWA) was studied as a sustainable partial replacement for cement in hydraulic concrete. The TWA was reduced to a particle size of less than 75m and was characterized by X-ray florescence. A central composite design was used to study the influence of the ash replacement percentage of cement and the water/binder (w/b) ratio on the compressive strength at 28days. The results show that it is possible to replace 10% of the cement with TWA using a 0.5 w/b ratio and obtain a 51% higher compressive strength than the control mixture at 28days. Moreover, the experimental results demonstrated an improvement of 86% in the 7-day compressive strength when TWA was used.",2018
Life cycle assessment of concrete made with high volume of recycled concrete aggregates and fly ash,Sustainability; Concrete; Recycled concrete aggregates; Fly ash; Life Cycle Assessment,ONE-WAY SLABS; ENVIRONMENTAL ASSESSMENT; STRUCTURAL USE; CONSTRUCTION; OPTIMIZATION,"Since concrete is the most widely used construction material in the world, it is important to improve its environmental performance. A possibility is to use supplementary cementitious materials and recycled aggregates. Therefore, the objective of this work is to compare the environmental impacts (EI) of concrete mixes, which contain different incorporation ratios of fly ash (FA) and recycled concrete aggregates (RCA), with and without Superplasticizer (SP). The Life Cycle Assessment methodology was used for environmental assessment, according to ISO 14040 (2006) and EN 15804 (2012). Contrary to most of the previous studies, this one separately obtained the impact for each life cycle stage in detail (e.g. the impact of raw materials production, transportation, and mixing procedure), and explains the reason behind selecting each dataset. Thus, the results of this study can be used for other case studies. The results show that the EI slightly increased when SP was used. Moreover, the incorporation ratio of fine RCA did not change the results for most of the EI categories. Nevertheless, the EI of most of the categories decreased when coarse NA was fully replaced with coarse RCA. Despite the long transportation distance between the coal power plant and the concrete plant considered in the case study, the El significantly decreased in most categories with increasing amounts of FA.",2018
Development of Fly Ash- and Slag-Based Geopolymer Concrete with Calcium Carbonate or Microsilica,Geopolymer; Durability; Strength; Fly ash; Slag,AMBIENT-TEMPERATURE; COMPRESSIVE STRENGTH; ROOM-TEMPERATURE; SILICATE HYDRATE; BEHAVIOR; CONSTRUCTION; WORKABILITY; ACTIVATION; GEL,"Geopolymer is a cementitious material known for its environmental benefits and characteristics comparable to those of conventional ordinary portland cement. Geopolymer concrete (GPC) is a relatively new construction material that is yet to be regulated by standards due to the high variability in the mix design. This paper thoroughly investigates the mechanical, chemical, and durability properties of three types of GPC in an attempt to improve mix designs. In Type I, four concrete mixes were synthesized with high binder content (43%) and 3%-6% microsilica. In Type II, four concrete mixes were made with moderate binder content (20%) and 0%-6% calcium carbonate. In Type III, one mix was designed with low binder content (15%). High compressive strength (71.6MPa) was achieved by the M1 mix of Type I. Type II and III mixes showed strengths superior to those of comparable mixes from previous studies. It was found that Type I mixes were more prone to microcracking than mixes with a lower binder content, resulting in poor durability performances. Type II and III mixes performed similarly in the durability tests, which was mainly due to their similar binder contents. It was shown that microsilica and calcium carbonate could be added to GPC mixes without a significant impact on durability performance. (C) 2018 American Society of Civil Engineers.",2018
